GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
test-gamification,be.dzenali.gamification.builders,ArmorBuilder,31,0,0,0,9,0,4,0,4,0
test-gamification,be.dzenali.gamification.builders,PlayerBuilder,135,0,0,0,28,0,8,0,8,0
test-gamification,be.dzenali.gamification.builders,WeaponBuilder,31,0,0,0,9,0,4,0,4,0
test-gamification,be.dzenali.gamification.builders,EquipmentBuilder,27,0,0,0,9,0,4,0,4,0
test-gamification,be.dzenali.gamification.builders,MonsterBuilder,135,0,0,0,30,0,9,0,9,0
test-gamification,be.dzenali.gamification.item.consumables,HealthPotion,33,0,0,0,6,0,3,0,3,0
test-gamification,be.dzenali.gamification.entity.monster,Goblin,18,0,0,0,2,0,1,0,1,0
test-gamification,be.dzenali.gamification.entity.monster,Ork,55,0,6,0,7,0,8,0,5,0
test-gamification,be.dzenali.gamification.entity.monster,Dragon,26,31,4,2,2,3,4,3,2,2
test-gamification,be.dzenali.gamification.item.weapon,DualDagger,7,0,0,0,2,0,1,0,1,0
test-gamification,be.dzenali.gamification.item.weapon,Espadon,7,0,0,0,2,0,1,0,1,0
test-gamification,be.dzenali.gamification.item.weapon,Toothpick,7,0,0,0,2,0,1,0,1,0
test-gamification,be.dzenali.gamification.entity,Monster,1,109,1,1,0,21,1,12,0,12
test-gamification,be.dzenali.gamification.entity,Player,245,0,10,0,49,0,28,0,23,0
test-gamification,be.dzenali.gamification.data,StatBlock,0,120,0,8,0,19,0,9,0,5
test-gamification,be.dzenali.gamification.data,StatType,0,39,0,0,0,7,0,1,0,1
test-gamification,be.dzenali.gamification.data,HealthPoints,5,78,1,9,1,20,1,9,0,5
test-gamification,be.dzenali.gamification.data,WeaponType,0,45,0,0,0,8,0,1,0,1
test-gamification,be.dzenali.gamification.data,Coords,0,72,0,0,0,18,0,8,0,8
test-gamification,be.dzenali.gamification.data,Aggressivity,0,35,0,0,0,8,0,3,0,3
test-gamification,be.dzenali.gamification.data,Status,21,0,0,0,4,0,1,0,1,0
test-gamification,be.dzenali.gamification.data,ArmorType,0,21,0,0,0,4,0,1,0,1
test-gamification,be.dzenali.gamification,TradingSystem,229,0,10,0,47,0,13,0,8,0
test-gamification,be.dzenali.gamification,CombatSystem,443,0,39,0,100,0,31,0,9,0
test-gamification,be.dzenali.gamification,RPGGame,374,0,17,0,117,0,22,0,10,0
test-gamification,be.dzenali.gamification,CombatLog,59,0,2,0,17,0,6,0,5,0
test-gamification,be.dzenali.gamification,CombatRules,154,0,11,0,31,0,21,0,13,0
test-gamification,be.dzenali.gamification.entity.archetype,Warrior,81,0,4,0,14,0,6,0,4,0
test-gamification,be.dzenali.gamification.entity.archetype,Rogue,68,0,6,0,13,0,7,0,4,0
test-gamification,be.dzenali.gamification.entity.archetype,Mage,88,0,10,0,20,0,10,0,4,0
test-gamification,be.dzenali.gamification.item,Item,32,0,0,0,7,0,4,0,4,0
test-gamification,be.dzenali.gamification.item,Weapon,7,49,0,2,2,10,1,6,1,5
test-gamification,be.dzenali.gamification.item,Armor,18,80,5,5,2,17,5,8,0,6
test-gamification,be.dzenali.gamification.item,Equipment,0,40,0,4,0,11,0,8,0,6
test-gamification,be.dzenali.gamification.item.armor,Gabison,7,0,0,0,2,0,1,0,1,0
test-gamification,be.dzenali.gamification.item.armor,ChainVest,7,0,0,0,2,0,1,0,1,0
test-gamification,be.dzenali.gamification.item.armor,Pajama,7,0,0,0,2,0,1,0,1,0
